Column Name,Column Status,Notes,Type,Case Reference,Calculation
Commcare UUID,Column as requested,,Primary Case,self,caseid
eNikshay ID (Person),Column as requested,,Related Case,person,person_id
eNikshay Episode ID,Column as requested,,Primary Case,self,episode_id
Nikshay ID,Column as requested,,Primary Case,self,nikshay_id
Manual Nikshay ID,Column added,,Primary Case,self,manual_nikshay_id
Name,Column as requested,,Related Case,person,name
Episode Type,Column as requested,,Primary Case,self,episode_type
Episode closed?,Column added,,Primary Case,self,closed
Episode Close Reason (from Remove Person),Column added,"This only represents values if the episode was closed through Remove Person. If it is blank but episode is closed, it is assumed the episode wasn't removed through Remove Person.",Primary Case,self,close_reason
Episode Active?,Column added,,Primary Case,self,is_active
State,Column moved or unavailable,Ownership properties are linked to the person case. See person table for latest ownership fields,N/A,N/A,N/A
District,Column moved or unavailable,Ownership properties are linked to the person case. See person table for latest ownership fields,N/A,N/A,N/A
TU,Column moved or unavailable,Ownership properties are linked to the person case. See person table for latest ownership fields,N/A,N/A,N/A
PHI,Column moved or unavailable,Ownership properties are linked to the person case. See person table for latest ownership fields,N/A,N/A,N/A
Date of Creation of Presumptive TB Episode,Column as requested,,Primary Case,self,opened_date
Created by Username,Column as requested,,Custom,custom,"if(self.opened_by_username!="""",self.opened_by_username,self.opened_by_username1)"
Created by User ID,Column as requested,This is the UUID of the user in CommCare.,Related Case,person,opened_by_user_id
